Symbol,CIK,Year,Filing Date,Cosine Distance,Return Date,Return,Return +1,Cosine Similarity,Bins
AKAM,1086222,2013,2014-03-03,0.0028716424025742038,2014-03-31,-4.7767,24.3205,0.9971283575974258,4
AKAM,1086222,2014,2015-03-02,0.002175995871727343,2015-03-31,2.2083,-8.8301,0.9978240041282727,4
AKAM,1086222,2015,2016-02-29,0.0007396654982033679,2016-02-29,18.3034,2.2083,0.9992603345017966,5
AKAM,1086222,2016,2017-02-28,0.0007806899263942402,2017-02-28,-8.7331,2.9646,0.9992193100736058,5
AKAM,1086222,2017,2018-03-01,0.046525395905144484,2018-03-29,5.2179,2.0771,0.9534746040948555,1
AKAM,1086222,2018,2019-02-28,0.046533406556086954,2019-02-28,7.0046,5.2179,0.953466593443913,1
AKAM,1086222,2019,2020-02-28,0.015894585959760565,2020-02-28,-7.3273,2.9429,0.9841054140402394,2
AKAM,1086222,2020,2021-02-26,0.020007733143966755,2021-02-26,-14.8879,5.7566,0.9799922668560332,1
AKAM,1086222,2021,2022-02-28,0.000996135668626108,2022-02-28,-5.4911,7.8307,0.9990038643313739,5
AKAM,1086222,2022,2023-02-28,0.013339502621627752,2023-02-28,-18.3811,10.2808,0.9866604973783722,2
AKAM,1086222,2023,2024-02-28,0.01592855440480223,2024-02-29,-9.9895,7.8513,0.9840714455951978,2
ALGN,1097149,2004,2005-03-03,0.008904554552995214,2005-03-31,-17.5694,-8.6796,0.9910954454470048,4
ALGN,1097149,2005,2006-03-01,0.010721141142268742,2006-03-31,12.3775,34.9359,0.9892788588577313,3
ALGN,1097149,2006,2007-03-12,0.0049885942221750135,2007-03-30,-3.4105,-4.144,0.995011405777825,4
ALGN,1097149,2007,2008-02-26,0.0071140364422520586,2008-02-29,4.8387,-3.4105,0.9928859635577479,3
ALGN,1097149,2008,2009-02-27,0.005608207020660894,2009-02-27,-13.0711,-10.0405,0.9943917929793391,4
ALGN,1097149,2009,2010-02-26,0.0023771871710769332,2010-02-26,-3.4667,15.7664,0.9976228128289231,5
ALGN,1097149,2010,2011-02-24,0.0052373920881588765,2011-02-28,0.096,6.8508,0.9947626079118411,3
ALGN,1097149,2011,2012-02-29,0.004189151901121679,2012-02-29,8.7012,-1.7746,0.9958108480988783,3
ALGN,1097149,2012,2013-03-01,0.0023092796818071637,2013-03-28,6.584,15.0998,0.9976907203181928,4
ALGN,1097149,2013,2014-02-28,0.0010010548948430342,2014-02-28,-11.932,6.584,0.998998945105157,5
ALGN,1097149,2014,2015-02-26,0.0009238295835423127,2015-02-27,8.1056,-1.0319,0.9990761704164577,5
ALGN,1097149,2015,2016-02-25,0.0013925001165393525,2016-02-29,-0.1663,-6.2162,0.9986074998834606,4
ALGN,1097149,2016,2017-02-28,0.029567219212226936,2017-02-28,12.0733,10.0863,0.9704327807877731,1
ALGN,1097149,2017,2018-02-28,0.012312441014499909,2018-02-28,0.1985,11.629,0.9876875589855001,2
